session_date,final_bias,prob_trend_fused,pred_regime,actual_regime,regime_hit,pred_dir,actual_dir,dir_hit,execution_score
2025-10-13,RANGE_FADE,0.35579569801041255,range,range,1.0,0,1,,13.369354701561884
2025-10-14,BALANCED_SMALL,0.45535834915941636,neutral,range,,0,-1,,28.303752373912456
2025-10-15,RANGE_FADE,0.3309786958329099,range,range,1.0,0,1,,9.646804374936488
2025-10-16,RANGE_FADE,0.20455596713125507,range,range,1.0,0,-1,,0.0
2025-10-17,RANGE_FADE,0.3125966363256815,range,trend,0.0,0,1,,6.889495448852232
2025-10-20,BALANCED_SMALL,0.45180511599597556,neutral,trend,,0,1,,27.770767399396334
2025-10-21,RANGE_FADE,0.26219417679457413,range,range,1.0,0,-1,,0.0
2025-10-22,RANGE_FADE,0.2030152965229853,range,range,1.0,0,-1,,0.0
2025-10-23,BALANCED_SMALL,0.47680048111784773,neutral,trend,,0,1,,31.52007216767716
2025-10-24,BALANCED_SMALL,0.5167640197384871,neutral,range,,0,1,,36.173481381694096
2025-10-27,BALANCED_SMALL,0.5493020777511404,neutral,trend,,0,1,,38.45114544257983
2025-10-28,RANGE_FADE,0.11556477760362373,range,range,1.0,0,1,,0.0
2025-10-29,RANGE_FADE,0.34604197309790374,range,range,1.0,0,1,,11.90629596468556
2025-10-30,RANGE_FADE,0.15535054193976933,range,trend,0.0,0,-1,,0.0
2025-10-31,RANGE_FADE,0.15775535829869874,range,range,1.0,0,1,,0.0
2025-11-03,RANGE_FADE,0.16270676286912844,range,range,1.0,0,1,,0.0
2025-11-04,BALANCED_SMALL,0.5053137226784423,neutral,range,,0,-1,,35.37196058749096
2025-11-05,RANGE_FADE,0.3897985920766801,range,range,1.0,0,1,,18.469788811502013
2025-11-06,RANGE_FADE,0.17901041665949474,range,trend,0.0,0,-1,,0.0
2025-11-07,RANGE_FADE,0.24942992488492946,range,range,1.0,0,1,,0.0
2025-11-10,RANGE_FADE,0.35829515963043795,range,trend,0.0,0,1,,13.744273944565697
2025-11-11,RANGE_FADE,0.27251162329124856,range,trend,0.0,0,1,,0.876743493687286
2025-11-12,RANGE_FADE,0.11665006424975607,range,range,1.0,0,1,,0.0
2025-11-13,RANGE_FADE,0.23084998455582764,range,trend,0.0,0,-1,,0.0
2025-11-14,WHIP_WAIT,0.43923696772440757,neutral,range,,0,-1,,25.885545158661138
2025-11-17,WHIP_WAIT,0.4022662221306942,neutral,range,,0,-1,,20.33993331960413
2025-11-18,WHIP_WAIT,0.4101076332180649,neutral,range,,0,-1,,21.516144982709733
2025-11-19,RANGE_FADE,0.276843642818234,range,range,1.0,0,1,,1.5265464227350947
2025-11-20,BALANCED_SMALL,0.6201278624786233,neutral,trend,,0,-1,,43.40895037350363
2025-11-21,RANGE_FADE,0.22870315620257928,range,range,1.0,0,1,,0.0
2025-11-24,WHIP_WAIT,0.4312502606811324,neutral,trend,,0,1,,24.687539102169858
2025-11-25,RANGE_FADE,0.30367413704970864,range,range,1.0,0,1,,5.551120557456299
2025-11-26,BALANCED_SMALL,0.5248594386132472,neutral,range,,0,1,,36.740160702927305
2025-11-28,BALANCED_SMALL,0.500136561137555,neutral,trend,,0,1,,35.00955927962885
2025-12-01,RANGE_FADE,0.3825778970118771,range,range,1.0,0,-1,,17.38668455178157
2025-12-02,RANGE_FADE,0.28862231301133157,range,range,1.0,0,1,,3.2933469516997356
2025-12-03,BALANCED_SMALL,0.5740285631841607,neutral,trend,,0,1,,40.18199942289125
2025-12-04,RANGE_FADE,0.16606883781278675,range,range,1.0,0,1,,0.0
2025-12-05,RANGE_FADE,0.22735591036859168,range,range,1.0,0,1,,0.0
2025-12-08,RANGE_FADE,0.11769908300345268,range,range,1.0,0,-1,,0.0
2025-12-09,WHIP_WAIT,0.41753984776987196,neutral,range,,0,-1,,22.630977165480793
2025-12-10,BALANCED_SMALL,0.46443436418588707,neutral,trend,,0,1,,29.66515462788306
2025-12-11,RANGE_FADE,0.37866310511487755,range,trend,0.0,0,1,,16.79946576723163
2025-12-12,RANGE_FADE,0.27417683703130297,range,range,1.0,0,-1,,1.1265255546954442
2025-12-15,RANGE_FADE,0.15529786933896855,range,range,1.0,0,-1,,0.0
2025-12-16,RANGE_FADE,0.19872084064514986,range,range,1.0,0,-1,,0.0
2025-12-17,RANGE_FADE,0.1966802595787127,range,trend,0.0,0,-1,,0.0
2025-12-18,RANGE_FADE,0.3069796874183965,range,range,1.0,0,1,,6.046953112759477
2025-12-19,RANGE_FADE,0.36464917974958305,range,trend,0.0,0,1,,14.697376962437454
2025-12-22,RANGE_FADE,0.2902633198816291,range,range,1.0,0,1,,3.53949798224437
2025-12-23,WHIP_WAIT,0.428409522385237,neutral,trend,,0,1,,24.261428357785547
2025-12-24,BALANCED_SMALL,0.6149109392156993,neutral,trend,,0,1,,51.04376574509895
2025-12-26,RANGE_FADE,0.17822322464464774,range,range,1.0,0,-1,,0.0
2025-12-29,RANGE_FADE,0.17748095996889238,range,range,1.0,0,-1,,0.0
2025-12-30,RANGE_FADE,0.35760775942252077,range,range,1.0,0,-1,,13.641163913378113
2025-12-31,RANGE_FADE,0.18875070564641563,range,trend,0.0,0,-1,,0.0
2026-01-02,RANGE_FADE,0.20621140321833567,range,range,1.0,0,1,,0.0
2026-01-05,BALANCED_SMALL,0.47938096218517645,neutral,range,,0,1,,31.907144327776464
2026-01-06,RANGE_FADE,0.33568053847154683,range,trend,0.0,0,1,,10.352080770732028
2026-01-07,WHIP_WAIT,0.43734280490123106,neutral,trend,,0,-1,,25.60142073518466
2026-01-08,BALANCED_SMALL,0.45232228683096326,neutral,range,,0,-1,,27.84834302464449
2026-01-09,RANGE_FADE,0.3848448359538542,range,range,1.0,0,1,,17.726725393078134
2026-01-12,RANGE_FADE,0.3820593501632557,range,trend,0.0,0,1,,17.308902524488353
2026-01-13,RANGE_FADE,0.1503205807748737,range,range,1.0,0,-1,,0.0
2026-01-14,RANGE_FADE,0.19985879567470122,range,range,1.0,0,-1,,0.0
2026-01-15,RANGE_FADE,0.2794394562647274,range,range,1.0,0,1,,1.915918439709106
2026-01-16,RANGE_FADE,0.19336325165770238,range,range,1.0,0,-1,,0.0
2026-01-20,RANGE_FADE,0.3457972446596803,range,range,1.0,0,-1,,11.869586698952046
2026-01-21,WHIP_WAIT,0.43111328360412,neutral,range,,0,1,,24.666992540618004
2026-01-22,RANGE_FADE,0.34403823637535785,range,range,1.0,0,1,,11.605735456303675
2026-01-23,WHIP_WAIT,0.4335767122694803,neutral,range,,0,1,,25.036506840422042
2026-01-26,WHIP_WAIT,0.40381269534540476,neutral,range,,0,1,,20.57190430181071
2026-01-27,RANGE_FADE,0.37554572986763823,range,range,1.0,0,1,,16.331859480145738
2026-01-28,RANGE_FADE,0.24093711497168144,range,range,1.0,0,-1,,0.0
2026-01-29,RANGE_FADE,0.24690950074668924,range,range,1.0,0,-1,,0.0
2026-01-30,RANGE_FADE,0.35233447535995066,range,range,1.0,0,-1,,12.8501713039926
2026-02-02,WHIP_WAIT,0.4119577790365611,neutral,range,,0,1,,21.79366685548417
2026-02-03,RANGE_FADE,0.20890413817208106,range,range,1.0,0,-1,,0.0
2026-02-04,RANGE_FADE,0.2730840372081539,range,range,1.0,0,-1,,0.9626055812230803
2026-02-05,RANGE_FADE,0.20564785942190997,range,range,1.0,0,-1,,0.0
2026-02-06,RANGE_FADE,0.2886676403168561,range,trend,0.0,0,1,,3.3001460475284183
2026-02-09,BALANCED_SMALL,0.5321309187337655,neutral,range,,0,1,,37.249164311363586
2026-02-10,RANGE_FADE,0.15340238173488355,range,trend,0.0,0,-1,,0.0
2026-02-11,RANGE_FADE,0.1866334432959931,range,range,1.0,0,-1,,0.0
2026-02-12,RANGE_FADE,0.3355277790556884,range,trend,0.0,0,-1,,10.329166858353263
2026-02-13,RANGE_FADE,0.34523811217099765,range,range,1.0,0,1,,11.785716825649645
2026-02-17,BALANCED_SMALL,0.45378122941113047,neutral,range,,0,1,,28.067184411669572
2026-02-18,BALANCED_SMALL,0.5218198394777452,neutral,range,,0,1,,36.52738876344217
2026-02-19,RANGE_FADE,0.15757109855686244,range,range,1.0,0,-1,,0.0
2026-02-20,WHIP_WAIT,0.4367795480516814,neutral,trend,,0,1,,25.51693220775221
2026-02-23,RANGE_FADE,0.1863878335535111,range,range,1.0,0,-1,,0.0
2026-02-24,RANGE_FADE,0.2749622940318056,range,trend,0.0,0,1,,1.244344104770839
2026-02-25,BALANCED_SMALL,0.49651734956594934,neutral,trend,,0,1,,34.477602434892404
2026-02-26,RANGE_FADE,0.2229335630847986,range,range,1.0,0,-1,,0.0
2026-02-27,RANGE_FADE,0.3273043096767349,range,trend,0.0,0,-1,,9.09564645151024
2026-03-02,RANGE_FADE,0.38522259203566483,range,range,1.0,0,1,,17.78338880534973
2026-03-03,WHIP_WAIT,0.40956559871618786,neutral,range,,0,-1,,21.434839807428183
2026-03-04,RANGE_FADE,0.37537167906873414,range,range,1.0,0,1,,16.305751860310124
2026-03-05,RANGE_FADE,0.24831360404093636,range,range,1.0,0,-1,,0.0
2026-03-06,BALANCED_SMALL,0.5067410926491859,neutral,range,,0,-1,,35.47187648544301
2026-03-09,RANGE_FADE,0.323024599286526,range,trend,0.0,0,1,,8.453689892978895
2026-03-10,RANGE_FADE,0.3092311633176448,range,range,1.0,0,-1,,6.384674497646717
2026-03-11,RANGE_FADE,0.30025203325602035,range,range,1.0,0,-1,,5.037804988403053
2026-03-12,RANGE_FADE,0.22286739541074252,range,trend,0.0,0,-1,,0.0
2026-03-13,RANGE_FADE,0.2854138990680836,range,trend,0.0,0,-1,,2.8120848602125434
2026-03-16,RANGE_FADE,0.3121137417273411,range,range,1.0,0,1,,6.817061259101161
