event_type,gap_direction,fill_path_type,vol_state,open_regime_label,n,fill_rate,direct_fill_rate,failed_fill_rate,avg_time_to_fill_minutes,median_time_to_fill_minutes,avg_MAE_pct,median_MAE_pct,avg_MFE_pct,median_MFE_pct,payoff_ratio,expectancy,sortino_ratio,max_drawdown,stop_out_rate_proxy,sample_quality,tradability_score,build_ts
RANGE_COMPRESSION,UP,PARTIAL_FILL_REJECT,low,NO_SETUP,1,0.0,0.0,1.0,,,0.0013102720127606572,0.0013102720127606572,0.0031863183537501516,0.0031863183537501516,,2.431799139963913,,0.0,0.0,LOW_SAMPLE,97.25886287842893,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKOUT,DOWN,SQUEEZE_THEN_FILL,mid,NO_SETUP,3,1.0,0.0,0.0,110.00000014901161,45.0,0.00493438062338715,0.004525673270431722,0.00878719330623804,0.00908532418955212,,1.7640458219578383,,0.0,0.06267806267806268,BOOTSTRAP_OK,95.51248907207966,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,SQUEEZE_THEN_FILL,low,NO_SETUP,10,1.0,0.0,0.0,114.00000017881393,97.49999988824129,0.003565608586722014,0.0036684631664474342,0.003138104171380809,0.002837859782704918,,1.5608653560821213,,0.0,0.28433048433048436,BOOTSTRAP_OK,87.39895815741764,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,SQUEEZE_THEN_FILL,high,NO_SETUP,8,1.0,0.0,0.0,84.37499991618097,90.0,0.0049052133344431835,0.004643828818149503,0.004405171593190757,0.003888810234500172,,1.4788539209596339,,0.0,0.3523860398860399,BOOTSTRAP_OK,84.10510470504092,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,SQUEEZE_THEN_FILL,high,ACCEPTED_BREAKDOWN_OPEN_2BAR,1,1.0,0.0,0.0,434.99999955296516,434.99999955296516,0.01103056639959913,0.01103056639959913,0.016162303554623083,0.016162303554623083,,1.4652287986961803,,0.0,0.11538461538461539,LOW_SAMPLE,83.49884628385122,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKOUT,DOWN,SQUEEZE_THEN_FILL,high,NO_SETUP,1,1.0,0.0,0.0,135.0,135.0,0.006745021301810942,0.006745021301810942,0.0097407618155224,0.0097407618155224,,1.4441410011421527,,0.0,0.11538461538461539,LOW_SAMPLE,82.698189832668,2026-05-31T12:26:15.458599+00:00
RANGE_COMPRESSION,DOWN,DIRECT_FILL,low,NO_SETUP,1,1.0,1.0,0.0,0.0,0.0,0.00126556431970678,0.00126556431970678,0.0016000985867135808,0.0016000985867135808,,1.2643360450334988,,0.0,0.0,LOW_SAMPLE,75.56078615814289,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,SQUEEZE_THEN_FILL,mid,NO_SETUP,28,0.7857142857142857,0.0,0.0,101.59090916202827,97.49999988824129,0.004660938253505457,0.004491626835761521,0.003558814254021107,0.003111074778371984,,1.381266563993383,,0.0,0.36507936507936506,BOOTSTRAP_OK,74.8469103200574,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKDOWN,DOWN,SQUEEZE_THEN_FILL,high,NO_SETUP,4,1.0,0.0,0.0,146.24999983236194,104.99999977648258,0.008878213751514138,0.010091613812544,0.007950566958676866,0.004016913319238933,,1.2412347754287545,,0.0,0.2596153846153846,BOOTSTRAP_OK,74.56060887963504,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,PARTIAL_FILL_REJECT,low,NO_SETUP,7,0.14285714285714285,0.0,1.0,15.000000447034836,15.000000447034836,0.0031200305359664554,0.0029479333680931348,0.0028174809189899378,0.0033765120012764134,,1.4552642278967516,,0.0,0.21693121693121692,BOOTSTRAP_OK,61.75079738193897,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,UP,PARTIAL_FILL_REJECT,mid,NO_SETUP,5,0.0,0.0,1.0,,,0.0033113250738970356,0.003279361661966644,0.004421714467340957,0.004218273086790792,,1.5122002487249513,,0.0,0.11111111111111112,BOOTSTRAP_OK,60.454896698259084,2026-05-31T12:26:15.458599+00:00
UNCLASSIFIED,DOWN,PARTIAL_FILL_REJECT,low,NO_SETUP,2,0.0,0.0,1.0,,,0.0020026429520083647,0.0020026429520083647,0.0028868077259119477,0.0028868077259119477,,1.4560267636950601,,0.0,0.0,LOW_SAMPLE,58.22104411828232,2026-05-31T12:26:15.458599+00:00
FAILED_BREAKDOWN,DOWN,PARTIAL_FILL_REJECT,mid,ACCEPTED_BREAKDOWN_OPEN_2BAR,1,0.0,0.0,1.0,,,0.00797706511727706,0.00797706511727706,0.01113975419755719,0.01113975419755719,,1.3964727670870136,,0.0,0.0,LOW_SAMPLE,55.77914003230777,2026-05-31T12:26:15.458599+00:00
CLEAN_BREAKDOWN,DOWN,SQUEEZE_THEN_FILL,high,NO_SETUP,1,1.0,0.0,0.0,405.0,405.0,0.012868540632213056,0.012868540632213056,0.009746214164312416,0.009746214164312416,,0.7573674780118652,,0.0,0.6666666666666666,LOW_SAMPLE,55.16601371415247,2026-05-31T12:26:15.458599+00:00
